max_ma,min_ma,genus,lng,lat,lithology1,environment,THY0orTHE1
70.6,66.0,Paronychodon,-103.766899,46.026402,shale,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,shale,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,siltstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Saurornitholestes,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Paronychodon,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Tyrannosaurus,-103.766899,46.026402,shale,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,shale,floodplain,1
72.1,66.0,Richardoestesia,-103.766899,46.026402,siltstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.766899,46.026402,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Saurornitholestes,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Paronychodon,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,mudstone,floodplain,1
70.6,66.0,Richardoestesia,-103.766899,46.026402,siltstone,floodplain,1
70.6,66.0,Richardoestesia,-103.836998,46.180302,sandstone,channel,1
72.1,66.0,Tyrannosaurus,-103.795403,46.136902,mudstone,floodplain,1
70.6,66.0,Tyrannosaurus,-103.939697,46.406399,sandstone,channel,1
70.6,66.0,Saurornitholestes,-103.939697,46.406399,sandstone,channel,1
70.6,66.0,Paronychodon,-103.939697,46.406399,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.964401,46.381901,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.964401,46.381901,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.964401,46.381901,sandstone,channel,1
70.6,66.0,Paronychodon,-104.0233,46.449799,sandstone,channel,1
72.1,66.0,Tyrannosaurus,-103.0233,46.449799,sandstone,channel,1
72.1,66.0,Tyrannosaurus,-104.0233,46.464298,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.897903,46.334,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.897903,46.334,sandstone,channel,1
70.6,66.0,Paronychodon,-103.897903,46.334,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.897903,46.334,sandstone,channel,1
70.6,66.0,Paronychodon,-103.897903,46.334,sandstone,channel,1
70.6,66.0,Saurornitholestes,-103.897903,46.334,sandstone,channel,1
72.1,66.0,Tyrannosaurus,-103.897903,46.334,sandstone,channel,1
83.5,70.6,Saurornitholestes,-111.494652,50.736988,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-111.511536,50.752384,sandstone,channel,1
83.5,70.6,Troodon,-111.511536,50.752384,sandstone,channel,1
83.5,70.6,Saurornitholestes,-111.480057,50.737049,sandstone,channel,1
83.5,70.6,Saurornitholestes,-111.458488,50.749004,sandstone,channel,1
83.5,70.6,Saurornitholestes,-111.510078,50.748341,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-111.502129,50.747658,sandstone,channel lag,1
83.5,70.6,Troodon,-111.502129,50.747658,sandstone,channel lag,1
70.6,66.0,Richardoestesia,-104.002403,46.464298,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-104.002403,46.464298,sandstone,channel,1
70.6,66.0,Paronychodon,-104.002403,46.464298,sandstone,channel,1
72.1,66.0,Tyrannosaurus,-104.002403,46.464298,sandstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.897903,46.3629,shale,floodplain,1
70.6,66.0,Tyrannosaurus,-103.946098,45.93903,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.946098,45.93903,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.946098,45.93903,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.946098,45.93903,sandstone,channel,1
70.6,66.0,Paronychodon,-103.946098,45.93903,sandstone,channel,1
72.1,66.0,Richardoestesia,-103.946098,45.93903,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.138977,50.068684,sandstone,fine channel fill,1
83.5,70.6,Paronychodon,-111.138977,50.068684,sandstone,fine channel fill,1
83.5,70.6,Saurornitholestes,-110.872475,49.127655,sandstone,shoreface,1
83.5,70.6,Richardoestesia,-110.872475,49.127655,sandstone,shoreface,1
83.5,70.6,Paronychodon,-110.872475,49.127655,sandstone,shoreface,1
83.5,70.6,Saurornitholestes,-110.874527,49.12788,sandstone,shoreface,1
83.5,70.6,Richardoestesia,-110.874527,49.12788,sandstone,shoreface,1
83.5,70.6,Saurornitholestes,-110.938988,49.098022,sandstone,fine channel fill,1
83.5,70.6,Richardoestesia,-110.938988,49.098022,sandstone,fine channel fill,1
83.5,70.6,Saurornitholestes,-110.939667,49.100048,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.939667,49.100048,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.94104,49.101849,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.840065,49.081963,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.840065,49.081963,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.684402,49.075459,sandstone,channel lag,1
83.5,70.6,Troodon,-110.684402,49.075459,sandstone,channel lag,1
83.5,70.6,Richardoestesia,-110.684402,49.075459,sandstone,channel lag,1
83.5,70.6,Paronychodon,-110.684402,49.075459,sandstone,channel lag,1
83.5,70.6,Dromaeosaurus,-110.68364,49.077595,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.68364,49.077595,sandstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.68364,49.077595,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.68364,49.077595,sandstone,crevasse splay,1
83.6,72.1,Panoplosaurus,-112.664398,48.9646,not reported,terrestrial,0
83.6,72.1,Oohkotokia,-112.642403,48.935501,not reported,terrestrial,0
83.5,70.6,Chirostenotes,-111.477402,50.786098,not reported,terrestrial,1
83.5,70.6,Richardoestesia,-111.511902,50.727901,not reported,terrestrial,1
70.6,66.0,Ornithomimus,-112.865601,51.615398,not reported,terrestrial,1
70.6,66.0,Anodontosaurus,-112.934799,51.630001,sandstone,terrestrial,0
83.5,66.0,Ornithomimipus,-112.946602,51.8046,mudstone,terrestrial,1
83.5,70.6,Stenonychosaurus,-111.603897,50.800598,not reported,terrestrial,1
83.5,70.6,Chirostenotes,-111.631561,50.809265,sandstone,channel,1
83.5,70.6,Saurornitholestes,-110.722214,49.1591,sandstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.722214,49.1591,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.722214,49.1591,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.848457,49.13797,sandstone,channel,1
83.5,70.6,Paronychodon,-110.848457,49.13797,sandstone,channel,1
83.5,70.6,Saurornitholestes,-110.719452,49.161789,sandstone,crevasse splay,1
83.5,70.6,Troodon,-110.719452,49.161789,sandstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.719452,49.161789,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.719452,49.161789,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.700768,49.07629,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.700768,49.07629,sandstone,crevasse splay,1
70.6,66.0,Dromaeosaurus,-108.667801,41.568298,mudstone,fluvial,1
70.6,66.0,Paronychodon,-108.667801,41.568298,mudstone,fluvial,1
70.6,66.0,Ankylosaurus,-108.667801,41.568298,mudstone,fluvial,0
70.6,66.0,Pectinodon,-104.494713,43.128948,sandstone,terrestrial,1
70.6,66.0,Ankylosaurus,-107.099998,47.5667,not reported,terrestrial,0
70.6,66.0,Paronychodon,-106.400002,47.516701,sandstone,terrestrial,1
70.6,66.0,Zapsalis,-104.637001,43.116329,sandstone,terrestrial,1
70.6,66.0,Pectinodon,-104.637001,43.116329,sandstone,terrestrial,1
70.6,66.0,Ankylosaurus,-113.005402,51.862801,sandstone,terrestrial,0
70.6,66.0,Ankylosaurus,-113.005402,51.8773,not reported,terrestrial,0
70.6,66.0,Tyrannosaurus,-104.411598,43.441799,claystone,terrestrial,1
70.6,66.0,Ankylosaurus,-104.411598,43.441799,claystone,terrestrial,0
70.6,66.0,Ankylosaurus,-105.114723,45.550201,not reported,terrestrial,0
83.5,70.6,Saurornitholestes,-110.700768,49.07629,sandstone,crevasse splay,1
83.5,70.6,Troodon,-110.700768,49.07629,sandstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.700768,49.07629,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.700768,49.07629,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.715843,49.074078,siltstone,crevasse splay,1
83.5,70.6,Troodon,-110.715843,49.074078,siltstone,crevasse splay,1
83.5,70.6,Dromaeosaurus,-110.70282,49.075844,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.70282,49.075844,sandstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.70282,49.075844,sandstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.70282,49.075844,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-110.732346,49.187008,siltstone,crevasse splay,1
83.5,70.6,Troodon,-110.732346,49.187008,siltstone,crevasse splay,1
83.5,70.6,Richardoestesia,-110.732346,49.187008,siltstone,crevasse splay,1
83.5,70.6,Dromaeosaurus,-110.73439,49.193851,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-110.73439,49.193851,sandstone,channel lag,1
83.5,70.6,Troodon,-110.73439,49.193851,sandstone,channel lag,1
83.5,70.6,Richardoestesia,-110.73439,49.193851,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-110.659027,49.072575,siltstone,crevasse splay,1
83.5,70.6,Paronychodon,-110.659027,49.072575,siltstone,crevasse splay,1
155.7,145.0,Torvosaurus,-108.397202,38.583099,sandstone,channel,1
7.246,5.333,Puffinus,-115.175552,28.114721,not reported,coastal,1
7.246,5.333,Puffinus,-115.175552,28.114721,not reported,coastal,1
7.246,5.333,Morus,-115.175552,28.114721,not reported,coastal,1
7.246,5.333,Megapaloelodus,-115.175552,28.114721,not reported,coastal,1
7.246,5.333,Cerorhinca,-115.175552,28.114721,not reported,coastal,1
7.246,5.333,Synthliboramphus,-115.175552,28.114721,not reported,coastal,1
72.1,66.0,Ornithomimus,-115.412003,54.9184,sandstone,terrestrial,1
83.5,70.6,Dyoplosaurus,-111.471733,50.749241,sandstone,channel,0
83.5,70.6,Ornithomimus,-111.597153,50.806515,sandstone,channel lag,1
70.6,66.0,Dromiceiomimus,-112.865601,51.542702,sandstone,terrestrial,1
70.6,66.0,Richardoestesia,-106.427223,47.675835,sandstone,coarse channel fill,1
157.3,152.1,Allosaurus,-107.816666,44.650002,sandstone,fine channel fill,1
157.3,152.1,Hesperosaurus,-107.816666,44.650002,sandstone,fine channel fill,0
157.3,152.1,Allosaurus,-107.779167,44.535557,sandstone,channel,1
228.0,201.3,Grallator,-108.808891,43.025555,sandstone,terrestrial,1
70.6,66.0,Avisaurus,-107.0,47.599998,sandstone,terrestrial,1
122.46,109.0,Deinonychus,-95.822998,34.154999,claystone,floodplain,1
122.46,109.0,Acrocanthosaurus,-95.822998,34.154999,claystone,floodplain,1
228.0,208.5,Grallator,-103.350899,36.894199,sandstone,floodplain,1
228.0,208.5,Grallator,-75.095001,40.568611,shale,terrestrial,1
228.0,208.5,Grallator,-75.095001,40.568611,shale,terrestrial,1
83.5,70.6,Edmontonia,-109.589699,47.808201,claystone,fine channel fill,0
55.8,50.3,Diatryma,-108.40136,44.583027,siliciclastic,fluvial-lacustrine,1
55.8,50.3,Diatryma,-108.902779,44.650509,siliciclastic,fluvial-lacustrine,1
55.8,50.3,Diatryma,-108.771721,44.671162,siliciclastic,fluvial-lacustrine,1
55.8,50.3,Diatryma,-108.7742,44.662388,siliciclastic,fluvial-lacustrine,1
83.5,70.6,Stenonychosaurus,-111.505226,50.746635,not reported,terrestrial,1
83.5,70.6,Leptorhynchos,-111.513893,50.734207,sandstone,channel,1
83.5,70.6,Caenagnathus,-111.514618,50.739815,not reported,terrestrial,1
83.5,70.6,Chirostenotes,-111.491814,50.737179,sandstone,channel lag,1
83.5,70.6,Citipes,-111.488899,50.742401,not reported,terrestrial,1
83.5,70.6,Leptorhynchos,-111.693703,50.131302,not reported,terrestrial,1
83.5,70.6,Citipes,-110.017197,50.757,not reported,terrestrial,1
83.5,70.6,Struthiomimus,-107.923599,36.1548,not reported,terrestrial,1
83.5,70.6,Struthiomimus,-108.102097,36.285702,not reported,terrestrial,1
83.5,70.6,Ornithomimus,-108.244797,36.271099,not reported,terrestrial,1
83.5,70.6,Struthiomimus,-108.191299,36.300201,not reported,terrestrial,1
83.6,72.1,Euoplocephalus,-112.650002,48.966599,siltstone,lacustrine,0
83.5,70.6,Saurornitholestes,-108.084167,36.343613,siliciclastic,terrestrial,1
157.3,145.0,Allosaurus,-111.270554,38.731667,siltstone,channel,1
201.3,199.3,Coelophysis,-72.76667,41.397221,shale,terrestrial,1
129.4,125.0,Hoplitosaurus,-103.336945,43.508888,not reported,terrestrial,0
105.3,99.6,Magnoavipes,-106.54528,31.795279,sandstone,marginal marine,1
83.5,70.6,Saurornitholestes,-111.624329,50.791401,sandstone,channel lag,1
83.5,70.6,Troodon,-111.624329,50.791401,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-111.463036,50.750069,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.531418,50.75544,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.321968,50.82914,sandstone,crevasse splay,1
83.5,70.6,Troodon,-111.321968,50.82914,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.514679,50.767208,sandstone,crevasse splay,1
83.5,70.6,Troodon,-111.514679,50.767208,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.523872,50.765007,sandstone,crevasse splay,1
83.5,70.6,Troodon,-111.523872,50.765007,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.506981,50.750423,sandstone,crevasse splay,1
83.5,70.6,Troodon,-111.506981,50.750423,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.524963,50.748547,not reported,crevasse splay,1
83.5,70.6,Troodon,-111.524963,50.748547,not reported,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.577621,50.812054,sandstone,fine channel fill,1
83.5,70.6,Saurornitholestes,-111.474724,50.750278,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.514915,50.749939,sandstone,crevasse splay,1
83.5,70.6,Troodon,-111.514915,50.749939,sandstone,crevasse splay,1
83.5,70.6,Saurornitholestes,-111.39872,50.754803,sandstone,channel lag,1
83.5,70.6,Troodon,-111.39872,50.754803,sandstone,channel lag,1
